date,account,category,amount,currency,converted amount,currency,description
15/04/2023,Tarjeta crédito rappi,Cine,"-77,700",COP,"-77,700",COP,Comida procinal fabricato película mario bross
15/04/2023,Efectivo,Tecnología y Plataformas digitales,"-40,000",COP,"-40,000",COP,Estuche y vidrio celular nuevo leidy
15/04/2023,Tarjeta crédito rappi,Taxi,"-8,210",COP,"-8,210",COP,Uber de CC fabricato a mi casa
15/04/2023,Tarjeta crédito rappi,Taxi,"-5,585",COP,"-5,585",COP,Cabify de CC fabricato a casa leidy
15/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-7,473",COP,"-7,473",COP,Cabify de casa leidy a CC fabricato
15/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-6,750",COP,"-6,750",COP,Uber de casa a CC fabricato
15/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-77,700",COP,"-77,700",COP,Comida procinal fabricato película mario bross
15/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-8,210",COP,"-8,210",COP,Uber de CC fabricato a mi casa
15/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-5,585",COP,"-5,585",COP,Cabify de CC fabricato a casa leidy
15/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"7,473",COP,"7,473",COP,Cabify de casa leidy a CC fabricato
15/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"6,750",COP,"6,750",COP,Uber de casa a CC fabricato
15/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"77,700",COP,"77,700",COP,Comida procinal fabricato película mario bross
15/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"8,210",COP,"8,210",COP,Uber de CC fabricato a mi casa
15/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"5,585",COP,"5,585",COP,Cabify de CC fabricato a casa leidy
16/04/2023,Bancolombia,Regalos,"-120,000",COP,"-120,000",COP,Regalo mamá
16/04/2023,Tarjeta crédito rappi,Comida,"-24,750",COP,"-24,750",COP,Helado popsy éxito niquia
16/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-24,750",COP,"-24,750",COP,Helado popsy éxito niquia
16/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"24,750",COP,"24,750",COP,Helado popsy éxito niquia
17/04/2023,Fiducuenta,Ahorros,"59,803.82",COP,"59,803.82",COP,Subió inversión
17/04/2023,Multinversion,Facturas,-277.03,COP,-277.03,COP,Bajó inversión
17/04/2023,Bancolombia,Casa,"-300,000",COP,"-300,000",COP,Cosas para monica
19/04/2023,Fiducuenta,Ahorros,"27,246.99",COP,"27,246.99",COP,Subió inversión
19/04/2023,Bancolombia,Salud,"-131,031",COP,"-131,031",COP,Farmacia Pasteur cosas mamá
19/04/2023,Bancolombia,Casa,"-57,100",COP,"-57,100",COP,Cosas mamá flamingo
19/04/2023,Bancolombia,Casa,"-161,890",COP,"-161,890",COP,Cosas para mamá del éxito
19/04/2023,Bancolombia,Restaurante,"-68,700",COP,"-68,700",COP,Comida sr wok
20/04/2023,Fiducuenta,Ahorros,"46,681.28",COP,"46,681.28",COP,Subió inversión
20/04/2023,Multinversion,Ahorros,448.08,COP,448.08,COP,Subió inversión
20/04/2023,Tarjeta crédito rappi,Tecnología y Plataformas digitales,"-14,900",COP,"-14,900",COP,Spotify
20/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-14,900",COP,"-14,900",COP,Spotify
20/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"14,900",COP,"14,900",COP,Spotify
21/04/2023,Fiducuenta,Ahorros,"24,680.95",COP,"24,680.95",COP,Subió inversión
21/04/2023,Multinversion,Ahorros,"1,223.55",COP,"1,223.55",COP,Subió inversión
22/04/2023,Tarjeta crédito rappi,Restaurante,"-213,180",COP,"-213,180",COP,Comida restaurante la ceja
22/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-213,180",COP,"-213,180",COP,Comida restaurante la ceja
22/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"213,180",COP,"213,180",COP,Comida restaurante la ceja
24/04/2023,Fiducuenta,Ahorros,"128,935.12",COP,"128,935.12",COP,Subió inversión
24/04/2023,Multinversion,Ahorros,"1,593.08",COP,"1,593.08",COP,Subió inversión
24/04/2023,Bancolombia,Regalos,"-35,000",COP,"-35,000",COP,Reserva restaurante rey parrillero envigado
25/04/2023,Fiducuenta,Ahorros,"48,369.98",COP,"48,369.98",COP,Subió inversión
25/04/2023,Multinversion,Ahorros,"6,755.92",COP,"6,755.92",COP,Subió inversión
25/04/2023,Tarjeta crédito rappi,Comida,"-18,900",COP,"-18,900",COP,Huevos doble a éxito
25/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-18,900",COP,"-18,900",COP,Huevos doble a éxito
25/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"18,900",COP,"18,900",COP,Huevos doble a éxito
26/04/2023,Fiducuenta,Facturas,"-2,299.51",COP,"-2,299.51",COP,Bajó inversión
26/04/2023,Multinversion,Facturas,-524.9,COP,-524.9,COP,Bajó inversión
27/04/2023,Bancolombia,Regalos,"-143,000",COP,"-143,000",COP,Regalo cumpleaños mamá
27/04/2023,Fiducuenta,Ahorros,"24,301.88",COP,"24,301.88",COP,Subió inversión
27/04/2023,Multinversion,Ahorros,41.21,COP,41.21,COP,Subió inversión
27/04/2023,Tarjeta crédito rappi,Casa,"-79,350",COP,"-79,350",COP,Cosas para la casa
27/04/2023,Tarjeta crédito rappi,Restaurante,"-22,750",COP,"-22,750",COP,Hamburguesa rappidogs
27/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-79,350",COP,"-79,350",COP,Cosas para la casa
27/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-22,750",COP,"-22,750",COP,Hamburguesa rappidogs
27/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"79,350",COP,"79,350",COP,Cosas para la casa
27/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"22,750",COP,"22,750",COP,Hamburguesa rappidogs
28/04/2023,Bancolombia,Casa,"-187,923",COP,"-187,923",COP,Cosas para la casa
28/04/2023,Fiducuenta,Ahorros,"17,959.49",COP,"17,959.49",COP,Subió inversión
28/04/2023,Multinversion,Ahorros,783.56,COP,783.56,COP,Subió inversión
28/04/2023,Bancolombia,Salario,"6,658,167",COP,"6,658,167",COP,Pago nomina uruit
28/04/2023,Tarjeta crédito rappi,Restaurante,"-50,650",COP,"-50,650",COP,Pollo frisby almuerzo
28/04/2023,Efectivo,Regalos,"-6,000",COP,"-6,000",COP,Aretas leidy
28/04/2023,Tarjeta crédito rappi,Comida,"-36,290",COP,"-36,290",COP,Cervezas y mecato
28/04/2023,Tarjeta crédito rappi,Taxi,"-18,628",COP,"-18,628",COP,Didi de casa a casa leidy
28/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-50,650",COP,"-50,650",COP,Pollo frisby almuerzo
28/04/2023,Bancolombia,To 'Fiducuenta',"-1,000,000",COP,"-1,000,000",COP,Traslado a fiducuenta
28/04/2023,Bancolombia,To 'Rappi cuenta',"-800,000",COP,"-800,000",COP,Traslado a rappi cuenta
28/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-36,290",COP,"-36,290",COP,Cervezas y mecato
28/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-18,628",COP,"-18,628",COP,Didi de casa a casa leidy
28/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"50,650",COP,"50,650",COP,Pollo frisby almuerzo
28/04/2023,Fiducuenta,From 'Bancolombia',"1,000,000",COP,"1,000,000",COP,Traslado a fiducuenta
28/04/2023,Rappi cuenta,From 'Bancolombia',"800,000",COP,"800,000",COP,Traslado a rappi cuenta
28/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"36,290",COP,"36,290",COP,Cervezas y mecato
28/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"18,628",COP,"18,628",COP,Didi de casa a casa leidy
29/04/2023,Tarjeta crédito rappi,Salud,"-20,350",COP,"-20,350",COP,Seda dental y cuchilla 
29/04/2023,Tarjeta crédito rappi,Taxi,"-13,149",COP,"-13,149",COP,Didi de casa a casa tías y casa yamile
29/04/2023,Tarjeta crédito rappi,Taxi,"-9,588",COP,"-9,588",COP,Didi de casa leidy a urgencias ips córdoba
29/04/2023,Tarjeta crédito rappi,Taxi,"-17,463",COP,"-17,463",COP,Didi de casa a urgencias ips córdoba
29/04/2023,Tarjeta crédito rappi,Taxi,"-26,795",COP,"-26,795",COP,Didi de urgencias ips córdoba a envigado
29/04/2023,Tarjeta crédito rappi,Taxi,"-33,100",COP,"-33,100",COP,Uber de casa a envigado
29/04/2023,Tarjeta crédito rappi,Restaurante,"-224,500",COP,"-224,500",COP,Rey parrillero cumpleaños mamá
29/04/2023,Tarjeta crédito rappi,Taxi,"-19,090",COP,"-19,090",COP,Didi de envigado a casa
29/04/2023,Tarjeta crédito rappi,Taxi,"-8,530",COP,"-8,530",COP,Uber de urgencias ips córdoba a casa leidy
29/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-20,350",COP,"-20,350",COP,Seda dental y cuchilla
29/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-13,149",COP,"-13,149",COP,Didi de casa a casa tías y casa yamile
29/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-9,588",COP,"-9,588",COP,Didi de casa leidy a urgencias ips córdoba
29/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-17,463",COP,"-17,463",COP,Didi de casa a urgencias ips córdoba
29/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-26,795",COP,"-26,795",COP,Didi de urgencias ips córdoba a envigado
29/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-33,100",COP,"-33,100",COP,Uber de casa a envigado
29/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-224,500",COP,"-224,500",COP,Rey parrillero cumpleaños mamá
29/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-19,090",COP,"-19,090",COP,Didi de envigado a casa
29/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-8,530",COP,"-8,530",COP,Uber de urgencias ips córdoba a casa leidy
29/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"20,350",COP,"20,350",COP,Seda dental y cuchilla
29/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"13,149",COP,"13,149",COP,Didi de casa a casa tías y casa yamile
29/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"9,588",COP,"9,588",COP,Didi de casa leidy a urgencias ips córdoba
29/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"17,463",COP,"17,463",COP,Didi de casa a urgencias ips córdoba
29/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"26,795",COP,"26,795",COP,Didi de urgencias ips córdoba a envigado
29/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"33,100",COP,"33,100",COP,Uber de casa a envigado
29/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"224,500",COP,"224,500",COP,Rey parrillero cumpleaños mamá
29/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"19,090",COP,"19,090",COP,Didi de envigado a casa
29/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"8,530",COP,"8,530",COP,Uber de urgencias ips córdoba a casa leidy
30/04/2023,Bancolombia,Restaurante,"-30,000",COP,"-30,000",COP,Ayuda pollo almuerzo leidy
30/04/2023,Tarjeta crédito rappi,Comunicaciones,"-34,273.54",COP,"-34,273.54",COP,Datos celular mamá
30/04/2023,Tarjeta crédito rappi,Comunicaciones,"-31,949.98",COP,"-31,949.98",COP,Pago claro datos
30/04/2023,Bancolombia,Regalos,"-40,000",COP,"-40,000",COP,Ayuda cosas para la casa leidy
30/04/2023,Bancolombia,Restaurante,"-43,500",COP,"-43,500",COP,Salchipapas picaderia chips
30/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-34,273.54",COP,"-34,273.54",COP,Datos mamá
30/04/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-31,949.98",COP,"-31,949.98",COP,Pago claro datos
30/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"34,273.54",COP,"34,273.54",COP,Datos mamá
30/04/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"31,949.98",COP,"31,949.98",COP,Pago claro datos
01/05/2023,Tarjeta crédito rappi,Taxi,"-36,349",COP,"-36,349",COP,Didi de aeropuerto dorado a apartamento monica
01/05/2023,Tarjeta crédito rappi,Taxi,"-38,710",COP,"-38,710",COP,Viaje uber no realizado
01/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-36,349",COP,"-36,349",COP,Didi de aeropuerto dorado a apartamento monica
01/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-38,710",COP,"-38,710",COP,Viaje uber no realizado
01/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"36,349",COP,"36,349",COP,Didi de aeropuerto dorado a apartamento monica
01/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"38,710",COP,"38,710",COP,Viaje uber no realizado
02/05/2023,Tarjeta crédito rappi,Salud,"-53,500",COP,"-53,500",COP,Pago emi
02/05/2023,Tarjeta crédito rappi,Restaurante,"-28,650",COP,"-28,650",COP,Almuerzo monica academia
02/05/2023,Bancolombia,To 'Rappi cuenta',"-800,000",COP,"-800,000",COP,Traslado a rappi cuenta
02/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-53,500",COP,"-53,500",COP,Pago emi
02/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-28,650",COP,"-28,650",COP,Almuerzo monica academia
02/05/2023,Rappi cuenta,From 'Bancolombia',"800,000",COP,"800,000",COP,Traslado a rappi cuenta
02/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"53,500",COP,"53,500",COP,Pago emi
02/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"28,650",COP,"28,650",COP,Almuerzo monica academia
03/05/2023,Fiducuenta,Ahorros,"159,068.95",COP,"159,068.95",COP,Subió inversión
03/05/2023,Multinversion,Ahorros,"9,727.76",COP,"9,727.76",COP,Subió inversión
03/05/2023,Tarjeta crédito rappi,Casa,"-147,565",COP,"-147,565",COP,Pago claro hogar
03/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-147,565",COP,"-147,565",COP,Pago claro hogar
03/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"147,565",COP,"147,565",COP,Pago claro hogar
04/05/2023,Multinversion,Ahorros,"170,000",COP,"170,000",COP,Aporte nomina uruit
04/05/2023,Fiducuenta,Ahorros,"50,674.83",COP,"50,674.83",COP,Subió inversión
04/05/2023,Multinversion,Ahorros,"2,334.48",COP,"2,334.48",COP,Subió inversión
05/05/2023,Fiducuenta,Ahorros,"27,138.83",COP,"27,138.83",COP,Subió inversión
05/05/2023,Multinversion,Ahorros,246.33,COP,246.33,COP,Subió inversión
05/05/2023,Tarjeta crédito rappi,Cine,"-36,600",COP,"-36,600",COP,Boletas guardianes de la galaxia volumen 3 fabricato
05/05/2023,Tarjeta crédito rappi,Restaurante,"-23,650",COP,"-23,650",COP,Hamburguesa doble queso Burger King
05/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-36,600",COP,"-36,600",COP,Boletas película guardianes de la galaxia volumen 3 fabricato
05/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-23,650",COP,"-23,650",COP,Hamburguesa doble queso Burger King
05/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"36,600",COP,"36,600",COP,Boletas película guardianes de la galaxia volumen 3 fabricato
05/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"23,650",COP,"23,650",COP,Hamburguesa doble queso Burger King
06/05/2023,Tarjeta crédito rappi,Restaurante,"-20,250",COP,"-20,250",COP,Almuerzo monica frijolada
06/05/2023,Efectivo,Facturas,"-187,000",COP,"-187,000",COP,Ajuste efectivo
06/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-20,250",COP,"-20,250",COP,Almuerzo monica frijolada
06/05/2023,Bancolombia,To 'Efectivo',"-100,000",COP,"-100,000",COP,Traslado efectivo
06/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"20,250",COP,"20,250",COP,Almuerzo monica frijolada
06/05/2023,Efectivo,From 'Bancolombia',"100,000",COP,"100,000",COP,Traslado efectivo
07/05/2023,Tarjeta crédito rappi,Comida,"-30,710",COP,"-30,710",COP,Cereal y crema leidy mercado or
07/05/2023,Tarjeta crédito rappi,Cine,"-64,400",COP,"-64,400",COP,Comida procinal fabricato película guardianes volumen 3
07/05/2023,Tarjeta crédito rappi,Taxi,"-14,056",COP,"-14,056",COP,Didi de fabricato a casa leidy
07/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-30,710",COP,"-30,710",COP,Cereal y crema leidy mercado or
07/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-64,400",COP,"-64,400",COP,Comida procinal fabricato película guardianes volumen 3
07/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-14,056",COP,"-14,056",COP,Didi de fabricato a casa leidy
07/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"30,710",COP,"30,710",COP,Cereal y crema leidy mercado or
07/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"64,400",COP,"64,400",COP,Comida procinal fabricato película guardianes volumen 3
07/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"14,056",COP,"14,056",COP,Didi de fabricato a casa leidy
08/05/2023,Fiducuenta,Ahorros,"133,196.05",COP,"133,196.05",COP,Subió inversión
08/05/2023,Multinversion,Ahorros,"8,452.59",COP,"8,452.59",COP,Subió inversión
08/05/2023,Tarjeta crédito rappi,Tecnología y Plataformas digitales,"-23,900",COP,"-23,900",COP,Disney+
08/05/2023,Rappi cuenta,Depósitos,"21,900",COP,"21,900",COP,Devolución pedido rappi burger king
08/05/2023,Efectivo,Facturas,"-50,000",COP,"-50,000",COP,Ajuste efectivo
08/05/2023,Bancolombia,Facturas,"-8,845.03",COP,"-8,845.03",COP,Ajuste cuenta ahorros
08/05/2023,Nequi,Facturas,-396.26,COP,-396.26,COP,Ajuste nequi disponible
08/05/2023,Multinversion,Ahorros,"7,565.71",COP,"7,565.71",COP,Ajuste mireserva
08/05/2023,Rappi cuenta,Facturas,"-29,498.96",COP,"-29,498.96",COP,Ajuste rappicuenta
08/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-23,900",COP,"-23,900",COP,Disney+
08/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"23,900",COP,"23,900",COP,Disney+
09/05/2023,Tarjeta crédito rappi,Casa,"-292,464",COP,"-292,464",COP,Factura epm
09/05/2023,Fiducuenta,Ahorros,"23,049.94",COP,"23,049.94",COP,Subió inversión
09/05/2023,Multinversion,Ahorros,188,COP,188,COP,Subió inversión
09/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-292,464",COP,"-292,464",COP,Factura epm
09/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"292,464",COP,"292,464",COP,Factura epm
10/05/2023,Fiducuenta,Ahorros,"52,186.52",COP,"52,186.52",COP,Subió inversión
10/05/2023,Multinversion,Ahorros,"2,071.62",COP,"2,071.62",COP,Subió inversión
10/05/2023,Tarjeta crédito rappi,Taxi,"-4,810",COP,"-4,810",COP,Uber de casa a casa yamile
10/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-4,810",COP,"-4,810",COP,Uber de casa a casa yamile
10/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"4,810",COP,"4,810",COP,Uber de casa a casa yamile
11/05/2023,Fiducuenta,Ahorros,"30,926.12",COP,"30,926.12",COP,Subió inversión
11/05/2023,Multinversion,Ahorros,746.58,COP,746.58,COP,Subió inversión
11/05/2023,Bancolombia,Casa,"-300,000",COP,"-300,000",COP,Cosas para monica
12/05/2023,Tarjeta crédito rappi,Tecnología y Plataformas digitales,"-26,900",COP,"-26,900",COP,Netflix
12/05/2023,Tarjeta crédito rappi,Restaurante,"-19,500",COP,"-19,500",COP,Almuerzo hamburguesa
12/05/2023,Tarjeta crédito rappi,Taxi,"-11,800",COP,"-11,800",COP,Uber de casa a casa tía astrid
12/05/2023,Tarjeta crédito rappi,Taxi,"-7,870",COP,"-7,870",COP,Uber de casa a casa tías y fabricato
12/05/2023,Tarjeta crédito rappi,Regalos,"-119,800",COP,"-119,800",COP,Vestido leidy cumpleaños
12/05/2023,Efectivo,Comida,"-5,000",COP,"-5,000",COP,Coca cola
12/05/2023,Tarjeta crédito rappi,Taxi,"-18,130",COP,"-18,130",COP,Uber de casa tía astrid a casa mía y casa yamile
12/05/2023,Tarjeta crédito rappi,Restaurante,"-108,600",COP,"-108,600",COP,Crepps fabricato cumpleaños leidy
12/05/2023,Tarjeta crédito rappi,Taxi,"-4,907",COP,"-4,907",COP,Didi de fabricato a casa leidy
12/05/2023,Tarjeta crédito rappi,Taxi,"-10,580",COP,"-10,580",COP,Uber fabricato a casa tías y casa
12/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-26,900",COP,"-26,900",COP,Netflix
12/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-19,500",COP,"-19,500",COP,Almuerzo hamburguesa
12/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-11,800",COP,"-11,800",COP,Uber de casa a casa tía astrid
12/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-7,870",COP,"-7,870",COP,Uber de casa a casa tías y fabricato
12/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-119,800",COP,"-119,800",COP,Vestido leidy cumpleaños
12/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-18,130",COP,"-18,130",COP,Uber de casa tía astrid a casa mía y casa yamile
12/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-108,600",COP,"-108,600",COP,Crepps fabricato cumpleaños leidy
12/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-4,907",COP,"-4,907",COP,Didi de fabricato a casa leidy
12/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-10,580",COP,"-10,580",COP,Uber de fabricato a casa tías y casa
12/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"26,900",COP,"26,900",COP,Netflix
12/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"19,500",COP,"19,500",COP,Almuerzo hamburguesa
12/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"11,800",COP,"11,800",COP,Uber de casa a casa tía astrid
12/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"7,870",COP,"7,870",COP,Uber de casa a casa tías y fabricato
12/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"119,800",COP,"119,800",COP,Vestido leidy cumpleaños
12/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"18,130",COP,"18,130",COP,Uber de casa tía astrid a casa mía y casa yamile
12/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"108,600",COP,"108,600",COP,Crepps fabricato cumpleaños leidy
12/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"4,907",COP,"4,907",COP,Didi de fabricato a casa leidy
12/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"10,580",COP,"10,580",COP,Uber de fabricato a casa tías y casa
13/05/2023,Bancolombia,Facturas,"-6,495",COP,"-6,495",COP,Cuota manejo tarjeta débito
13/05/2023,Tarjeta crédito rappi,Taxi,"-13,311",COP,"-13,311",COP,Didi de casa leidy a mi casa
13/05/2023,Bancolombia,Restaurante,"-165,600",COP,"-165,600",COP,Guadalupe bello
13/05/2023,Tarjeta crédito rappi,Taxi,"-9,930",COP,"-9,930",COP,Uber de casa a casa leidy
13/05/2023,Bancolombia,To 'Rappi cuenta',"-1,000,000",COP,"-1,000,000",COP,Traslado a rappi cuenta
13/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-13,311",COP,"-13,311",COP,Didi de casa leidy a mi casa
13/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-9,930",COP,"-9,930",COP,Uber de casa a casa leidy
13/05/2023,Rappi cuenta,From 'Bancolombia',"1,000,000",COP,"1,000,000",COP,Traslado a rappi cuenta
13/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"13,311",COP,"13,311",COP,Didi de casa leidy a mi casa
13/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"9,930",COP,"9,930",COP,Uber de casa a casa leidy
14/05/2023,Tarjeta crédito rappi,Restaurante,"-57,680",COP,"-57,680",COP,Almuerzo día de madre 12 presas frisby
14/05/2023,Tarjeta crédito rappi,Restaurante,"-19,200",COP,"-19,200",COP,Hamburguesa para leidy
14/05/2023,Tarjeta crédito rappi,Comida,"-4,590",COP,"-4,590",COP,Gaseosa naranja
14/05/2023,Tarjeta crédito rappi,Tecnología y Plataformas digitales,"-19,900",COP,"-19,900",COP,Spotify
14/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-57,680",COP,"-57,680",COP,Almuerzo día de madre 12 presas frisby
14/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-19,200",COP,"-19,200",COP,Hamburguesa para leidy
14/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-4,590",COP,"-4,590",COP,Gaseosa naranjada
14/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-19,900",COP,"-19,900",COP,Spotify
14/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"57,680",COP,"57,680",COP,Almuerzo día de madre 12 presas frisby
14/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"19,200",COP,"19,200",COP,Hamburguesa para leidy
14/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"4,590",COP,"4,590",COP,Gaseosa naranjada
14/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"19,900",COP,"19,900",COP,Spotify
15/05/2023,Fiducuenta,Ahorros,"159,626.24",COP,"159,626.24",COP,Subió inversión
15/05/2023,Multinversion,Ahorros,"5,148.33",COP,"5,148.33",COP,Subió inversión
15/05/2023,Tarjeta crédito rappi,Taxi,"-7,998",COP,"-7,998",COP,Didi de apartamento monica a academia
15/05/2023,Bancolombia,Regalos,"-209,000",COP,"-209,000",COP,Detalle Regalo leidy cumpleaños
15/05/2023,Tarjeta crédito rappi,Casa,"-133,620",COP,"-133,620",COP,Cosas para la casa éxito
15/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-7,998",COP,"-7,998",COP,Didi de apartamento monica a academia
15/05/2023,Rappi cuenta,To 'Tarjeta crédito rappi',"-133,620",COP,"-133,620",COP,Cosas para la casa éxito
15/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"7,998",COP,"7,998",COP,Didi de apartamento monica a academia
15/05/2023,Tarjeta crédito rappi,From 'Rappi cuenta',"133,620",COP,"133,620",COP,Cosas para la casa éxito
16/05/2023,Fiducuenta,Ahorros,"19,710.38",COP,"19,710.38",COP,Subió inversión
16/05/2023,Multinversion,Ahorros,"5,924.54",COP,"5,924.54",COP,Subió inversión
16/05/2023,Tarjeta crédito rappi,Taxi,"-9,250",COP,"-9,250",COP,Uber de casa a casa leidy
16/05/2023,Tarjeta crédito rappi,Taxi,"-11,790",COP,"-11,790",COP,Uber de casa leidy a CC Florida
16/05/2023,Tarjeta crédito rappi,Regalos,"-39,900",COP,"-39,900",COP,Chaqueta leidy
16/05/2023,Tarjeta crédito rappi,Restaurante,"-136,137",COP,"-136,137",COP,Il forno CC florida
