date,account,category,amount,currency,converted amount,currency,description
29/07/2021,Bancolombia,To 'Fiducuenta',"-700,000",COP,"-700,000",COP,Traslado fiducuenta
29/07/2021,Bancolombia,To 'Renta Fija Plazo',"-500,000",COP,"-500,000",COP,Traslado renta fija plazo
29/07/2021,Bancolombia,To 'Renta sostenible global',"-150,000",COP,"-150,000",COP,Traslado sostenible global
29/07/2021,Bancolombia,To 'Renta alta convicción',"-150,000",COP,"-150,000",COP,Traslado alta convicción
29/07/2021,Bancolombia,To 'Tyba comprar vivienda',"-100,000",COP,"-100,000",COP,Traslado tyba
29/07/2021,Bancolombia,To 'Tyba portafolio 8',"-100,000",COP,"-100,000",COP,Traslado tyba
29/07/2021,Fiducuenta,From 'Bancolombia',"700,000",COP,"700,000",COP,Traslado fiducuenta
30/07/2021,Bancolombia,Casa,"-95,327",COP,"-95,327",COP,Carne en OR
30/07/2021,Fiducuenta,Ahorros,"7,890.52",COP,"7,890.52",COP,Subió inversión
30/07/2021,Bancolombia,Casa,"-839,060",COP,"-839,060",COP,Mercado OR
30/07/2021,Bancolombia,To 'Tarjeta de crédito mastercard',"-56,050",COP,"-56,050",COP,Pago tarjeta crédito
02/08/2021,Bancolombia,Regalos,"-51,700",COP,"-51,700",COP,Regalo vannesa cumpleaños
02/08/2021,Fiducuenta,Ahorros,908.95,COP,908.95,COP,Subió inversión
03/08/2021,Fiducuenta,Ahorros,"2,624.85",COP,"2,624.85",COP,Subió inversión
03/08/2021,Bancolombia,To 'Tarjeta de crédito mastercard',"-265,595",COP,"-265,595",COP,Pago tarjeta crédito
03/08/2021,Bancolombia,To 'Tarjeta de crédito mastercard',"-7,730",COP,"-7,730",COP,Pago tarjeta crédito
04/08/2021,Fiducuenta,Ahorros,"2,328.55",COP,"2,328.55",COP,Subió inversión
04/08/2021,Bancolombia,Regalos,"-20,000",COP,"-20,000",COP,Préstamo leidy
05/08/2021,Fiducuenta,Ahorros,"4,088.7",COP,"4,088.7",COP,Subió inversión
06/08/2021,Fiducuenta,Ahorros,"6,815.82",COP,"6,815.82",COP,Subió inversión
06/08/2021,Bancolombia,Casa,"-234,700",COP,"-234,700",COP,Trabajo ventanas
07/08/2021,Bancolombia,Casa,"-214,900",COP,"-214,900",COP,Factura epm
07/08/2021,Bancolombia,Transporte,"-5,826",COP,"-5,826",COP,Didi a homecenter
